datetime,price_usd,hashrate
2009-06-30,0.0,4.32479345777778e-06
2009-07-01,0.0,4.12595237925926e-06
2009-07-02,0.0,3.57913941333333e-06
2009-07-03,0.0,4.12595237925926e-06
2009-07-04,0.0,4.42421399703704e-06
2009-07-05,0.0,3.97682157037037e-06
2009-07-06,0.0,4.5236345362963e-06
2009-07-07,0.0,3.13174698666667e-06
2009-07-08,0.0,3.92711130074074e-06
2009-07-09,0.0,4.02653184e-06
2009-07-10,0.0,4.07624210962963e-06
2009-07-11,0.0,4.17566264888889e-06
2009-07-12,0.0,3.77798049185185e-06
2009-07-13,0.0,3.77798049185185e-06
2009-07-14,0.0,3.57913941333333e-06
2009-07-15,0.0,2.28667240296296e-06
2009-07-16,0.0,3.43000860444444e-06
2009-07-17,0.0,3.23116752592593e-06
2009-07-18,0.0,1.49130808888889e-07
2009-07-19,0.0,2.58493402074074e-06
2009-07-20,0.0,3.72827022222222e-06
2009-07-21,0.0,3.67855995259259e-06
2009-07-22,0.0,3.43000860444444e-06
2009-07-23,0.0,3.28087779555556e-06
2009-07-24,0.0,3.72827022222222e-06
2009-07-25,0.0,2.63464429037037e-06
2009-07-26,0.0,6.46233505185185e-07
2009-07-27,0.0,3.1814572562963e-06
2009-07-28,0.0,2.1872518637037e-06
2009-07-29,0.0,1.59072862814815e-06
2009-07-30,0.0,6.95943774814815e-07
2009-07-31,0.0,5.96523235555555e-07
2009-08-01,0.0,1.14333620148148e-06
2009-08-02,0.0,1.49130808888889e-06
2009-08-03,0.0,7.45654044444445e-07
2009-08-04,0.0,2.88319563851852e-06
2009-08-05,0.0,4.5236345362963e-06
2009-08-06,0.0,4.77218588444444e-06
2009-08-07,0.0,3.67855995259259e-06
2009-08-08,0.0,4.07624210962963e-06
2009-08-09,0.0,4.8716064237037e-06
2009-08-10,0.0,4.07624210962963e-06
2009-08-11,0.0,3.33058806518518e-06
2009-08-12,0.0,3.38029833481481e-06
2009-08-13,0.0,4.02653184e-06
2009-08-14,0.0,3.23116752592593e-06
2009-08-15,0.0,1.69014916740741e-06
2009-08-16,0.0,1.24275674074074e-06
2009-08-17,0.0,8.45074583703704e-07
2009-08-18,0.0,4.47392426666667e-07
2009-08-19,0.0,7.45654044444445e-07
2009-08-20,0.0,1.19304647111111e-06
2009-08-21,0.0,7.95364314074074e-07
2009-08-22,0.0,3.97682157037037e-07
2009-08-23,0.0,5.96523235555555e-07
2009-08-24,0.0,3.97682157037037e-07
2009-08-25,0.0,2.73406482962963e-06
2009-08-26,0.0,2.08783132444444e-06
2009-08-27,0.0,1.49130808888889e-06
2009-08-28,0.0,3.1814572562963e-06
2009-08-29,0.0,4.12595237925926e-06
2009-08-30,0.0,4.47392426666667e-06
2009-08-31,0.0,4.67276534518518e-06
2009-09-01,0.0,3.92711130074074e-06
2009-09-02,0.0,3.38029833481481e-06
2009-09-03,0.0,2.98261617777778e-06
2009-09-04,0.0,3.13174698666667e-06
2009-09-05,0.0,3.5294291437037e-06
2009-09-06,0.0,3.57913941333333e-06
2009-09-07,0.0,3.87740103111111e-06
2009-09-08,0.0,3.28087779555556e-06
2009-09-09,0.0,2.88319563851852e-06
2009-09-10,0.0,3.03232644740741e-06
2009-09-11,0.0,3.38029833481481e-06
2009-09-12,0.0,3.5294291437037e-06
2009-09-13,0.0,3.47971887407407e-06
2009-09-14,0.0,4.02653184e-06
2009-09-15,0.0,2.78377509925926e-06
2009-09-16,0.0,2.88319563851852e-06
2009-09-17,0.0,4.12595237925926e-06
2009-09-18,0.0,4.02653184e-06
2009-09-19,0.0,3.5294291437037e-06
2009-09-20,0.0,3.92711130074074e-06
2009-09-21,0.0,3.67855995259259e-06
2009-09-22,0.0,1.69014916740741e-06
2009-09-23,0.0,1.34217728e-06
2009-09-24,0.0,4.07624210962963e-06
2009-09-25,0.0,4.97102696296296e-06
2009-09-26,0.0,4.67276534518518e-06
2009-09-27,0.0,4.42421399703704e-06
2009-09-28,0.0,4.37450372740741e-06
2009-09-29,0.0,4.12595237925926e-06
2009-09-30,0.0,4.32479345777778e-06
2009-10-01,0.0,4.22537291851852e-06
2009-10-02,0.0,3.72827022222222e-06
2009-10-03,0.0,2.88319563851852e-06
2009-10-04,0.0,3.03232644740741e-06
2009-10-05,0.0,2.88319563851852e-06
2009-10-06,0.0,2.03812105481482e-06
2009-10-07,0.0,2.53522375111111e-06
2009-10-08,0.0,3.47971887407407e-06
2009-10-09,0.0,3.87740103111111e-06
2009-10-10,0.0,3.82769076148148e-06
2009-10-11,0.0,3.92711130074074e-06
2009-10-12,0.0,3.08203671703704e-06
2009-10-13,0.0,2.53522375111111e-06
2009-10-14,0.0,2.78377509925926e-06
2009-10-15,0.0,4.22537291851852e-06
2009-10-16,0.0,3.23116752592593e-06
2009-10-17,0.0,2.73406482962963e-06
2009-10-18,0.0,3.1814572562963e-06
2009-10-19,0.0,4.92131669333333e-06
2009-10-20,0.0,5.51783992888889e-06
2009-10-21,0.0,4.12595237925926e-06
2009-10-22,0.0,4.27508318814815e-06
2009-10-23,0.0,4.32479345777778e-06
2009-10-24,0.0,3.72827022222222e-06
2009-10-25,0.0,3.62884968296296e-06
2009-10-26,0.0,3.23116752592593e-06
2009-10-27,0.0,3.28087779555556e-06
2009-10-28,0.0,3.1814572562963e-06
2009-10-29,0.0,2.48551348148148e-06
2009-10-30,0.0,3.03232644740741e-06
2009-10-31,0.0,2.23696213333333e-06
2009-11-01,0.0,1.49130808888889e-06
2009-11-02,0.0,1.64043889777778e-06
2009-11-03,0.0,2.83348536888889e-06
2009-11-04,0.0,3.08203671703704e-06
2009-11-05,0.0,3.1814572562963e-06
2009-11-06,0.0,2.43580321185185e-06
2009-11-07,0.0,3.77798049185185e-06
2009-11-08,0.0,3.47971887407407e-06
2009-11-09,0.0,3.23116752592593e-06
2009-11-10,0.0,3.5294291437037e-06
2009-11-11,0.0,3.43000860444444e-06
2009-11-12,0.0,3.47971887407407e-06
2009-11-13,0.0,3.47971887407407e-06
2009-11-14,0.0,4.12595237925926e-06
2009-11-15,0.0,4.77218588444444e-06
2009-11-16,0.0,4.97102696296296e-06
2009-11-17,0.0,4.5236345362963e-06
2009-11-18,0.0,3.92711130074074e-06
2009-11-19,0.0,3.62884968296296e-06
2009-11-20,0.0,4.07624210962963e-06
2009-11-21,0.0,3.82769076148148e-06
2009-11-22,0.0,4.97102696296296e-06
2009-11-23,0.0,4.77218588444444e-06
2009-11-24,0.0,5.07044750222222e-06
2009-11-25,0.0,4.22537291851852e-06
2009-11-26,0.0,3.87740103111111e-06
2009-11-27,0.0,3.72827022222222e-06
2009-11-28,0.0,3.87740103111111e-06
2009-11-29,0.0,2.88319563851852e-06
2009-11-30,0.0,3.67855995259259e-06
2009-12-01,0.0,3.28087779555556e-06
2009-12-02,0.0,4.8716064237037e-06
2009-12-03,0.0,4.22537291851852e-06
2009-12-04,0.0,2.43580321185185e-06
2009-12-05,0.0,2.58493402074074e-06
2009-12-06,0.0,5.21957831111111e-06
2009-12-07,0.0,4.67276534518518e-06
2009-12-08,0.0,5.91552208592593e-06
2009-12-09,0.0,4.67276534518518e-06
2009-12-10,0.0,5.12015777185185e-06
2009-12-11,0.0,6.2137837037037e-06
2009-12-12,0.0,5.02073723259259e-06
2009-12-13,0.0,5.16986804148148e-06
2009-12-14,0.0,5.36870912e-06
2009-12-15,0.0,5.76639127703704e-06
2009-12-16,0.0,5.91552208592593e-06
2009-12-17,0.0,8.00335341037037e-06
2009-12-18,0.0,9.94205392592593e-06
2009-12-19,0.0,1.1135100397037e-05
2009-12-20,0.0,8.69929718518519e-06
2009-12-21,0.0,9.29582042074074e-06
2009-12-22,0.0,7.5559609837037e-06
2009-12-23,0.0,8.40103556740741e-06
2009-12-24,0.0,7.15827882666667e-06
2009-12-25,0.0,7.80451233185185e-06
2009-12-26,0.0,7.90393287111111e-06
2009-12-27,0.0,8.40103556740741e-06
2009-12-28,0.0,6.86001720888889e-06
2009-12-29,0.0,8.15248421925926e-06
2009-12-30,0.0,9.17315174809093e-06
2009-12-31,0.0,8.8203382193182e-06
2010-01-01,0.0,6.9974683206591e-06
2010-01-02,0.0,7.6442931234091e-06
2010-01-03,0.0,9.58476753165911e-06
2010-01-04,0.0,1.11724284111364e-05
2010-01-05,0.0,1.22308689974546e-05
2010-01-06,0.0,9.29075625768183e-06
2010-01-07,0.0,9.34955851247729e-06
2010-01-08,0.0,8.8203382193182e-06
2010-01-09,0.0,8.70273370972729e-06
2010-01-10,0.0,1.12312306659318e-05
2010-01-11,0.0,9.05554723850002e-06
2010-01-12,0.0,1.07692484138424e-05
2010-01-13,0.0,1.02502484902837e-05
2010-01-14,0.0,1.02502484902837e-05
2010-01-15,0.0,8.82299870049741e-06
2010-01-16,0.0,8.69324871960773e-06
2010-01-17,0.0,7.97962382471457e-06
2010-01-18,0.0,8.4337487578284e-06
2010-01-19,0.0,7.72012386293523e-06
2010-01-20,0.0,9.08249866227674e-06
2010-01-21,0.0,1.15477482991804e-05
2010-01-22,0.0,9.73124856672508e-06
2010-01-23,0.0,9.79612355716991e-06
2010-01-24,0.0,9.40687361450091e-06
2010-01-25,0.0,1.35648225052015e-05
2010-01-26,0.0,1.34980007194616e-05
2010-01-27,0.0,1.18274560759639e-05
2010-01-28,0.0,1.15601689330042e-05
2010-01-29,0.0,1.28966046478024e-05
2010-01-30,0.0,1.20279214331836e-05
2010-01-31,0.0,1.37652878624212e-05
2010-02-01,0.0,1.19610996474437e-05
2010-02-02,0.0,9.48869357506706e-06
2010-02-03,0.0,1.62376939347979e-05
2010-02-04,0.0,1.5435832505919e-05
2010-02-05,0.0,2.21493497278633e-05
2010-02-06,0.0,1.72674522368241e-05
2010-02-07,0.0,1.87139403823172e-05
2010-02-08,0.0,1.90755624186905e-05
2010-02-09,0.0,1.88947514005038e-05
2010-02-10,0.0,1.43744759458378e-05
2010-02-11,0.0,1.60921806186109e-05
2010-02-12,0.0,1.69058302004508e-05
2010-02-13,0.0,2.02508340369036e-05
2010-02-14,0.0,1.86235348732239e-05
2010-02-15,0.0,2.32460914215077e-05
2010-02-16,0.0,2.1989545939264e-05
2010-02-17,0.0,2.91518551880528e-05
2010-02-18,0.0,2.87748915433797e-05
2010-02-19,0.0,2.24921641321615e-05
2010-02-20,0.0,2.78953097058092e-05
2010-02-21,0.0,2.68900733200143e-05
2010-02-22,0.0,3.20419097972132e-05
2010-02-23,0.0,3.15392916043158e-05
2010-02-24,0.0,3.57130536259464e-05
2010-02-25,0.0,2.78185891402109e-05
2010-02-26,0.0,3.19537848232152e-05
2010-02-27,0.0,3.25176751436248e-05
2010-02-28,0.0,3.04500773021227e-05
2010-03-01,0.0,3.49611998654001e-05
2010-03-02,0.0,3.68408342667657e-05
2010-03-03,0.0,2.78185891402109e-05
2010-03-04,0.0,3.42093461048539e-05
2010-03-05,0.0,3.2893602023898e-05
2010-03-06,0.0,3.43973095449905e-05
2010-03-07,0.0,3.25176751436248e-05
2010-03-08,0.0,3.06328161893475e-05
2010-03-09,0.0,3.33357117354664e-05
2010-03-10,0.0,3.35609530309763e-05
2010-03-11,0.0,3.28852291444466e-05
2010-03-12,0.0,2.65784728701692e-05
2010-03-13,0.0,3.55881246905655e-05
2010-03-14,0.0,2.81551619387385e-05
2010-03-15,0.0,2.79299206432286e-05
2010-03-16,0.0,3.06328161893475e-05
2010-03-17,0.0,2.77046793477187e-05
2010-03-18,0.0,3.51376420995457e-05
2010-03-19,0.0,2.99570923028178e-05
2010-03-20,0.0,4.34715700334123e-05
2010-03-21,0.0,4.07686744872934e-05
2010-03-22,0.0,4.01675798141592e-05
